,0
2021-12-23,29.63864434555084
2022-01-05,29.757620539310818
2022-01-12,29.72949209836412
2022-01-20,29.76612865705199
2022-01-27,29.730195463482854
2022-02-03,29.943003983161372
2022-02-10,30.194195807298986
2022-02-17,30.404127321444722
2022-02-25,30.252839557771075
2022-03-04,29.63806293474739
2022-03-11,26.369545090350698
2022-03-18,28.582206728542925
2022-03-25,28.184899868216085
2022-04-01,29.304423123234397
2022-04-08,29.365955874942376
2022-04-19,29.917343307481413
2022-04-26,31.56204576751785
2022-05-04,31.965736761620672
2022-05-11,32.189326856188195
2022-05-18,32.05680422379234
2022-05-25,31.402115002699734
2022-06-03,32.70494528919895
2022-06-10,33.01359891903544
2022-06-17,33.1121606014982
2022-06-27,33.461351533329236
2022-07-05,33.846397907726384
2022-07-12,34.69167102009724
2022-07-19,34.65471213913439
2022-07-26,34.74083166096368
2022-08-02,34.917700797495776
2022-08-09,35.327556305189546
2022-08-16,35.73703741640011
2022-08-23,36.27829895976519
2022-08-31,36.73840499563686
2022-09-08,38.312167106156224
2022-09-15,38.297442310577416
2022-09-23,38.347486181394544
2022-09-30,38.338011886586365
2022-10-07,38.86707382671243
2022-10-17,39.12987359449507
2022-10-24,38.773254093593174
2022-10-31,38.983862692495386
2022-11-07,39.350862038535396
2022-11-15,36.34927272925947
2022-11-22,37.26257875724254
2022-11-30,35.61036659982098
2022-12-07,37.67680075800991
2022-12-14,37.923805341732304
2022-12-21,38.361669486318775
2022-12-30,37.84570064591306
2023-01-09,38.86543290005095
2023-01-17,39.49200961507747
2023-01-24,39.65988906175938
2023-01-31,39.94341566440923
2023-02-07,39.24932954035061
2023-02-14,38.625299816462274
2023-02-22,39.313357285750655
2023-03-01,40.55243367122458
2023-03-08,41.31625456077226
2023-03-15,40.67043675951214
2023-03-22,40.53267915054592
2023-03-29,39.1083587242146
2023-04-05,37.46736199413184
2023-04-14,36.74715063267852
2023-04-21,37.30333697846465
2023-04-28,37.29244978072887
2023-05-09,37.56413275014786
2023-05-16,37.506913622125886
2023-05-23,37.48280114192001
2023-05-31,37.995174526289134
2023-06-07,38.71702032369534
2023-06-14,39.161713519715015
2023-06-22,39.26738177140726
2023-06-29,39.003067151574136
2023-07-07,39.47017500484817
2023-07-14,40.258244094590275
2023-07-21,40.31187983454695
2023-07-28,39.945596706412644
2023-08-04,40.330559855306525
2023-08-11,39.699706117393866
2023-08-18,39.81712707474785
2023-08-25,39.889953098303536
2023-09-05,40.092826728011836
2023-09-12,39.88302945290202
2023-09-19,40.22055849039136
2023-09-26,40.463755506832555
2023-10-03,40.663792064152574
2023-10-11,39.98691163562165
2023-10-18,38.36497316173866
2023-10-25,37.40515488109092
2023-11-01,37.7031642204399
2023-11-08,38.3919181145177
2023-11-16,36.60464384120601
2023-11-24,36.717910381918706
2023-12-01,37.45685102651323
2023-12-08,38.845651114167694
2023-12-15,41.303623230572676
2023-12-22,41.32011946077611
2024-01-03,41.67384149067272
2024-01-10,41.4659386212088
2024-01-18,42.04351163291124
2024-01-25,42.36473662375141
2024-02-01,42.56498676447223
2024-02-08,42.05711745160589
2024-02-15,42.11082743046926
2024-02-23,42.24790371365153
2024-03-01,42.235155113743225
